trip_id,traveler_name,year,start_date,end_date,nights,origin_airport,destination_airport,destination_city,destination_country,carrier_name,distance_km,route_carriers
DAM-2021-08-12,Abel Magwitch,2021,2021-08-12,2021-08-23,11,EWR,LIS,Lisbon,Portugal,TAP-TAP Air Portugal,5433.3,"TP, UA, US"
DAM-2022-08-14,Abel Magwitch,2022,2022-08-14,2022-08-28,14,EWR,OPO,Porto,Portugal,TAP-TAP Air Portugal,5360.7,"TP, US"
DAM-2023-08-09,Abel Magwitch,2023,2023-08-09,2023-08-21,12,EWR,LIS,Lisbon,Portugal,TAP-TAP Air Portugal,5433.3,"TP, UA, US"
DAM-2024-08-16,Abel Magwitch,2024,2024-08-16,2024-08-31,15,EWR,OPO,Porto,Portugal,TAP-TAP Air Portugal,5360.7,"TP, US"
DAM-2025-08-13,Abel Magwitch,2025,2025-08-13,2025-08-26,13,EWR,LIS,Lisbon,Portugal,TAP-TAP Air Portugal,5433.3,"TP, UA, US"
DBS-2021-06-26,Bill Sikes,2021,2021-06-26,2021-07-06,10,EWR,DUB,Dublin,Ireland,United Air Lines Inc.,5124.5,"EI, LH, UA"
DBS-2022-06-28,Bill Sikes,2022,2022-06-28,2022-07-10,12,EWR,EDI,Edinburgh,United Kingdom,United Air Lines Inc.,5244.8,"LH, UA"
DBS-2023-06-23,Bill Sikes,2023,2023-06-23,2023-07-04,11,EWR,GLA,Glasgow,United Kingdom,United Air Lines Inc.,5182.0,"LH, UA"
DBS-2024-06-30,Bill Sikes,2024,2024-06-30,2024-07-13,13,EWR,MAN,Manchester,United Kingdom,United Air Lines Inc.,5383.2,"LH, UA"
DBS-2025-06-27,Bill Sikes,2025,2025-06-27,2025-07-07,10,EWR,BFS,Belfast,United Kingdom,United Air Lines Inc.,5098.8,"LH, UA"
DCB-2021-07-18,Charley Bates,2021,2021-07-18,2021-08-01,14,JFK,MAD,Madrid,Spain,American Airlines Inc.,5762.2,"AA, AF, AY, BA, DL, IB, KL, US, UX"
DCB-2022-07-20,Charley Bates,2022,2022-07-20,2022-07-31,11,JFK,BCN,Barcelona,Spain,American Airlines Inc.,6150.2,"AA, AF, AY, BA, DL, IB, KL, QR, US"
DCB-2023-07-15,Charley Bates,2023,2023-07-15,2023-07-28,13,JFK,FCO,Rome,Italy,American Airlines Inc.,6865.7,"AA, AY, AZ, BA, DL, IB, US"
DCB-2024-07-22,Charley Bates,2024,2024-07-22,2024-08-06,15,JFK,MXP,Milano,Italy,American Airlines Inc.,6412.8,"AA, AY, AZ, B6, BA, DL, EK, IB, QR, US"
DCB-2025-07-19,Charley Bates,2025,2025-07-19,2025-07-29,10,JFK,CDG,Paris,France,American Airlines Inc.,5833.7,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
DEL-2021-07-25,Edwin Leeford,2021,2021-07-25,2021-08-07,13,EWR,AMS,Amsterdam,Netherlands,United Air Lines Inc.,5868.5,"DL, KL, LH, UA"
DEL-2022-07-27,Edwin Leeford,2022,2022-07-27,2022-08-07,11,EWR,BRU,Brussels,Belgium,United Air Lines Inc.,5907.2,"9W, EY, LH, SN, UA"
DEL-2023-07-22,Edwin Leeford,2023,2023-07-22,2023-08-06,15,EWR,FRA,Frankfurt,Germany,United Air Lines Inc.,6211.0,"LH, UA"
DEL-2024-07-29,Edwin Leeford,2024,2024-07-29,2024-08-10,12,EWR,TXL,Berlin,Germany,United Air Lines Inc.,6387.4,"LH, UA"
DEL-2025-07-26,Edwin Leeford,2025,2025-07-26,2025-08-05,10,EWR,HAM,Hamburg,Germany,United Air Lines Inc.,6137.5,"LH, UA"
DEH-2021-06-15,Estella Havisham,2021,2021-06-15,2021-06-29,14,EWR,BCN,Barcelona,Spain,United Air Lines Inc.,6176.6,"LH, UA"
DEH-2022-06-17,Estella Havisham,2022,2022-06-17,2022-06-29,12,EWR,MAD,Madrid,Spain,United Air Lines Inc.,5789.7,"LH, UA"
DEH-2023-06-12,Estella Havisham,2023,2023-06-12,2023-06-25,13,EWR,BIO,Bilbao,Spain,United Air Lines Inc.,5710.7,UA
DEH-2024-06-19,Estella Havisham,2024,2024-06-19,2024-07-04,15,EWR,LIS,Lisbon,Portugal,United Air Lines Inc.,5433.3,"TP, UA, US"
DEH-2025-06-16,Estella Havisham,2025,2025-06-16,2025-06-27,11,EWR,MXP,Milano,Italy,United Air Lines Inc.,6436.4,"LH, UA"
DHM-2021-07-10,Harry Maylie,2021,2021-07-10,2021-07-23,13,JFK,LHR,London,United Kingdom,British Airways Plc,5539.7,"AA, AF, AI, AY, BA, DL, IB, KL, KU, MH, US, VS"
DHM-2022-07-12,Harry Maylie,2022,2022-07-12,2022-07-27,15,JFK,LCY,London,United Kingdom,British Airways Plc,5572.5,"AA, AY, BA, IB"
DHM-2023-07-07,Harry Maylie,2023,2023-07-07,2023-07-18,11,JFK,MAN,Manchester,United Kingdom,British Airways Plc,5362.1,"AA, AY, BA, IB, US, VS"
DHM-2024-07-14,Harry Maylie,2024,2024-07-14,2024-07-24,10,JFK,CDG,Paris,France,British Airways Plc,5833.7,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
DHM-2025-07-11,Harry Maylie,2025,2025-07-11,2025-07-23,12,JFK,FCO,Rome,Italy,British Airways Plc,6865.7,"AA, AY, AZ, BA, DL, IB, US"
DJD-2021-07-03,Jack Dawkins,2021,2021-07-03,2021-07-13,10,JFK,BCN,Barcelona,Spain,Delta Air Lines Inc.,6150.2,"AA, AF, AY, BA, DL, IB, KL, QR, US"
DJD-2022-07-05,Jack Dawkins,2022,2022-07-05,2022-07-17,12,JFK,LIS,Lisbon,Portugal,Delta Air Lines Inc.,5404.4,"DL, TP"
DJD-2023-06-30,Jack Dawkins,2023,2023-06-30,2023-07-14,14,JFK,NCE,Nice,France,Delta Air Lines Inc.,6406.9,"AF, DL"
DJD-2024-07-07,Jack Dawkins,2024,2024-07-07,2024-07-18,11,JFK,MXP,Milano,Italy,Delta Air Lines Inc.,6412.8,"AA, AY, AZ, B6, BA, DL, EK, IB, QR, US"
DJD-2025-07-04,Jack Dawkins,2025,2025-07-04,2025-07-17,13,JFK,ATH,Athens,Greece,Delta Air Lines Inc.,7932.5,DL
DJG-2021-06-08,Joe Gargery,2021,2021-06-08,2021-06-18,10,EWR,MAN,Manchester,United Kingdom,United Air Lines Inc.,5383.2,"LH, UA"
DJG-2022-06-10,Joe Gargery,2022,2022-06-10,2022-06-21,11,EWR,BHX,Birmingham,United Kingdom,United Air Lines Inc.,5444.8,"LH, UA"
DJG-2023-06-05,Joe Gargery,2023,2023-06-05,2023-06-18,13,EWR,EDI,Edinburgh,United Kingdom,United Air Lines Inc.,5244.8,"LH, UA"
DJG-2024-06-12,Joe Gargery,2024,2024-06-12,2024-06-24,12,EWR,DUB,Dublin,Ireland,United Air Lines Inc.,5124.5,"EI, LH, UA"
DJG-2025-06-09,Joe Gargery,2025,2025-06-09,2025-06-23,14,EWR,LHR,London,United Kingdom,United Air Lines Inc.,5561.7,"AA, AY, BA, DL, IB, LH, UA, VS"
DMH-2021-07-06,Miss Havisham,2021,2021-07-06,2021-07-21,15,EWR,FCO,Rome,Italy,United Air Lines Inc.,6890.3,"LH, UA"
DMH-2022-07-08,Miss Havisham,2022,2022-07-08,2022-07-21,13,EWR,MXP,Milano,Italy,United Air Lines Inc.,6436.4,"LH, UA"
DMH-2023-07-03,Miss Havisham,2023,2023-07-03,2023-07-17,14,EWR,VCE,Venice,Italy,United Air Lines Inc.,6691.3,UA
DMH-2024-07-10,Miss Havisham,2024,2024-07-10,2024-07-22,12,EWR,ZRH,Zurich,Switzerland,United Air Lines Inc.,6332.3,"LX, UA"
DMH-2025-07-07,Miss Havisham,2025,2025-07-07,2025-07-22,15,EWR,GVA,Geneva,Switzerland,United Air Lines Inc.,6224.9,"LX, UA"
DMB-2021-06-20,Mr. Brownlow,2021,2021-06-20,2021-07-05,15,JFK,LHR,London,United Kingdom,American Airlines Inc.,5539.7,"AA, AF, AI, AY, BA, DL, IB, KL, KU, MH, US, VS"
DMB-2022-06-22,Mr. Brownlow,2022,2022-06-22,2022-07-02,10,JFK,DUB,Dublin,Ireland,American Airlines Inc.,5103.0,"AA, AF, AY, BA, DL, EI, KL, UA, US"
DMB-2023-06-17,Mr. Brownlow,2023,2023-06-17,2023-06-29,12,JFK,MAN,Manchester,United Kingdom,American Airlines Inc.,5362.1,"AA, AY, BA, IB, US, VS"
DMB-2024-06-24,Mr. Brownlow,2024,2024-06-24,2024-07-08,14,JFK,ZRH,Zurich,Switzerland,American Airlines Inc.,6309.5,"AA, DL, LX, UA, US"
DMB-2025-06-21,Mr. Brownlow,2025,2025-06-21,2025-07-02,11,JFK,CDG,Paris,France,American Airlines Inc.,5833.7,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
DNS-2021-08-08,Nancy Sikes,2021,2021-08-08,2021-08-20,12,JFK,NCE,Nice,France,Delta Air Lines Inc.,6406.9,"AF, DL"
DNS-2022-08-10,Nancy Sikes,2022,2022-08-10,2022-08-24,14,JFK,BCN,Barcelona,Spain,Delta Air Lines Inc.,6150.2,"AA, AF, AY, BA, DL, IB, KL, QR, US"
DNS-2023-08-05,Nancy Sikes,2023,2023-08-05,2023-08-15,10,JFK,LIS,Lisbon,Portugal,Delta Air Lines Inc.,5404.4,"DL, TP"
DNS-2024-08-12,Nancy Sikes,2024,2024-08-12,2024-08-25,13,JFK,VCE,Venice,Italy,Delta Air Lines Inc.,6668.3,"AZ, DL"
DNS-2025-08-09,Nancy Sikes,2025,2025-08-09,2025-08-20,11,JFK,MAD,Madrid,Spain,Delta Air Lines Inc.,5762.2,"AA, AF, AY, BA, DL, IB, KL, US, UX"
DOT-2021-06-12,Oliver Twist,2021,2021-06-12,2021-06-24,12,JFK,LHR,London,United Kingdom,Delta Air Lines Inc.,5539.7,"AA, AF, AI, AY, BA, DL, IB, KL, KU, MH, US, VS"
DOT-2022-06-14,Oliver Twist,2022,2022-06-14,2022-06-28,14,JFK,CDG,Paris,France,Delta Air Lines Inc.,5833.7,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
DOT-2023-06-09,Oliver Twist,2023,2023-06-09,2023-06-20,11,JFK,FCO,Rome,Italy,Delta Air Lines Inc.,6865.7,"AA, AY, AZ, BA, DL, IB, US"
DOT-2024-06-16,Oliver Twist,2024,2024-06-16,2024-06-29,13,JFK,BCN,Barcelona,Spain,Delta Air Lines Inc.,6150.2,"AA, AF, AY, BA, DL, IB, KL, QR, US"
DOT-2025-06-13,Oliver Twist,2025,2025-06-13,2025-06-28,15,JFK,AMS,Amsterdam,Netherlands,Delta Air Lines Inc.,5847.5,"DL, KL"
DRM-2021-07-10,Rose Maylie,2021,2021-07-10,2021-07-23,13,JFK,LHR,London,United Kingdom,British Airways Plc,5539.7,"AA, AF, AI, AY, BA, DL, IB, KL, KU, MH, US, VS"
DRM-2022-07-12,Rose Maylie,2022,2022-07-12,2022-07-27,15,JFK,LCY,London,United Kingdom,British Airways Plc,5572.5,"AA, AY, BA, IB"
DRM-2023-07-07,Rose Maylie,2023,2023-07-07,2023-07-18,11,JFK,MAN,Manchester,United Kingdom,British Airways Plc,5362.1,"AA, AY, BA, IB, US, VS"
DRM-2024-07-14,Rose Maylie,2024,2024-07-14,2024-07-24,10,JFK,CDG,Paris,France,British Airways Plc,5833.7,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
DRM-2025-07-11,Rose Maylie,2025,2025-07-11,2025-07-23,12,JFK,FCO,Rome,Italy,British Airways Plc,6865.7,"AA, AY, AZ, BA, DL, IB, US"
DTC-2021-08-02,Toby Crackit,2021,2021-08-02,2021-08-13,11,EWR,LIS,Lisbon,Portugal,United Air Lines Inc.,5433.3,"TP, UA, US"
DTC-2022-08-04,Toby Crackit,2022,2022-08-04,2022-08-17,13,EWR,BCN,Barcelona,Spain,United Air Lines Inc.,6176.6,"LH, UA"
DTC-2023-07-30,Toby Crackit,2023,2023-07-30,2023-08-09,10,EWR,MAD,Madrid,Spain,United Air Lines Inc.,5789.7,"LH, UA"
DTC-2024-08-06,Toby Crackit,2024,2024-08-06,2024-08-18,12,EWR,FCO,Rome,Italy,United Air Lines Inc.,6890.3,"LH, UA"
DTC-2025-08-03,Toby Crackit,2025,2025-08-03,2025-08-17,14,EWR,MXP,Milano,Italy,United Air Lines Inc.,6436.4,"LH, UA"
