traveler_id,name,nationality,gender,age,synthetic,persona_match,base_city,base_country,base_country_code,base_inference,base_region,base_detailed_region,home_airport,trip_count,distinct_destinations,first_year,last_year,trips_per_year,cold_start,pref_unesco,pref_michelin,pref_weather,pref_allocentric,pref_holiday,pref_beach,pref_ski,scored_trips,median_duration_days,median_accommodation_cost,median_transportation_cost,first_class_share,loyalist_carrier,tag_labels,home_airport_is_hub,distinct_carriers,entropy,entropy_norm_global,region_entropy_norm_global,tag_count,month_share_january,month_share_february,month_share_march,month_share_april,month_share_may,month_share_june,month_share_july,month_share_august,month_share_september,month_share_october,month_share_november,month_share_december
anthony-bourdain,Anthony Bourdain,American,Male,62,1,authored,New York City,United States,US,declared,Americas,Northern America,,201,131,2002,2018,11.82,0,0.2809,0.4277,0.7284,0.3759,0.005,0.2786,0.0,"{""unesco"": 187, ""michelin"": 187, ""weather"": 179, ""allocentric"": 187}",5.0,,,1.0,,Multi Hub,,19,4.7411,0.8851,0.8198,1,0.0896,0.0597,0.0746,0.1144,0.1343,0.0995,0.0846,0.0846,0.0746,0.1045,0.0746,0.005
eduardo-gomez,Eduardo Gomez,,,,1,authored,Houston,United States,US,declared,Americas,Northern America,,91,25,2021,2026,15.17,0,0.1373,0.6097,0.7544,0.2019,0.011,0.4176,0.011,"{""unesco"": 91, ""michelin"": 91, ""weather"": 85, ""allocentric"": 91}",0.0,,,0.0,United Air Lines Inc.,United Loyalist|United Hub,,8,2.4354,0.4547,0.4247,2,0.0659,0.0659,0.0549,0.044,0.0659,0.0879,0.0879,0.0549,0.1538,0.0879,0.1538,0.0769
chet-baker,Chet Baker,American,Male,47,1,authored,Atlanta,United States,US,declared,Americas,Northern America,ATL,53,1,2024,2025,26.5,1,0.458,0.936,0.6919,0.05,0.0,0.3396,0.0,"{""unesco"": 53, ""michelin"": 53, ""weather"": 53, ""allocentric"": 53}",4.0,1200.0,350.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Delta Hub,1,1,0.0,0.0,0.0,2,0.0943,0.0755,0.0755,0.0755,0.0755,0.0943,0.0943,0.0755,0.0755,0.0755,0.0755,0.1132
rick-steves,Rick Steves,American,Male,70,1,authored,Seattle,United States,US,declared,Americas,Northern America,SEA,47,8,2000,2025,1.81,0,0.6421,0.8696,0.6863,0.1709,0.0213,0.0,0.0,"{""unesco"": 45, ""michelin"": 45, ""weather"": 44, ""allocentric"": 45}",5.0,,,1.0,,Alaska Hub,1,4,1.5297,0.2856,0.2224,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1064,0.4468,0.3191,0.1277
chiron,Chiron,American,Male,69,1,authored,Jacksonville,United States,US,declared,Americas,Northern America,JAX,40,6,2016,2025,4.0,0,0.0506,0.5746,0.6976,0.1384,0.0,0.425,0.0,"{""unesco"": 40, ""michelin"": 40, ""weather"": 40, ""allocentric"": 40}",4.0,975.0,300.0,0.0,,,,6,1.7892,0.334,0.0,0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25
charles-darwin,Charles Darwin,American,Male,58,1,authored,Miami,United States,US,declared,Americas,Northern America,MIA,36,4,2017,2025,4.0,0,0.1868,0.5192,0.7482,0.2589,0.0,0.25,0.0,"{""unesco"": 36, ""michelin"": 36, ""weather"": 36, ""allocentric"": 36}",7.5,1212.5,487.5,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,1.3863,0.2588,0.2242,2,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
jack-brennan,Jack Brennan,American,Male,51,1,authored,Seattle,United States,US,declared,Americas,Northern America,SEA,36,4,2017,2025,4.0,0,0.203,0.3843,0.6623,0.2686,0.0,0.25,0.0,"{""unesco"": 36, ""michelin"": 36, ""weather"": 27, ""allocentric"": 36}",5.5,1037.5,312.5,0.0,Alaska Airlines Inc.,Alaska Loyalist|Alaska Hub,1,1,1.3863,0.2588,0.1819,2,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0
mrs-guttingen,Mrs. Guttingen,American,Female,48,1,authored,Denver,United States,US,declared,Americas,Northern America,DEN,36,4,2017,2025,4.0,0,0.1445,0.2925,0.737,0.2966,0.0,0.75,0.0,"{""unesco"": 36, ""michelin"": 36, ""weather"": 27, ""allocentric"": 36}",6.0,1087.5,387.5,0.0,Southwest Airlines Co.,Southwest Loyalist|United Hub,1,1,1.3863,0.2588,0.2242,2,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
mrs-walker,Mrs. Walker,American,Female,39,1,authored,Orlando,United States,US,declared,Americas,Northern America,MCO,36,4,2017,2025,4.0,0,0.0723,0.0,0.6723,0.2533,0.0,0.5,0.0,"{""unesco"": 36, ""michelin"": 36, ""weather"": 27, ""allocentric"": 36}",4.5,1087.5,400.0,0.0,Southwest Airlines Co.,Southwest Loyalist,,1,1.3863,0.2588,0.3364,1,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
nikola-tesla,Nikola Tesla,American,Male,51,1,authored,Dallas,United States,US,declared,Americas,Northern America,DFW,36,4,2017,2025,4.0,0,0.24,0.543,0.7492,0.2452,0.0,0.5,0.0,"{""unesco"": 36, ""michelin"": 36, ""weather"": 36, ""allocentric"": 36}",5.5,1150.0,387.5,0.0,American Airlines Inc.,American Loyalist|American Hub,1,1,1.3863,0.2588,0.3364,2,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
danny-hogan,Danny Hogan,American,Male,44,1,authored,San Francisco,United States,US,declared,Americas,Northern America,SFO,32,4,2018,2025,4.0,0,0.259,0.5528,0.7545,0.2674,0.0,0.75,0.0,"{""unesco"": 32, ""michelin"": 32, ""weather"": 16, ""allocentric"": 32}",5.5,1062.5,387.5,0.0,Alaska Airlines Inc.,Alaska Loyalist|United Hub,1,1,1.3863,0.2588,0.2242,2,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
hermes,Hermes,American,Male,38,1,authored,New York City,United States,US,declared,Americas,Northern America,LGA,32,6,2018,2025,4.0,0,0.0452,0.5589,0.7187,0.1367,0.0,0.3438,0.0,"{""unesco"": 32, ""michelin"": 32, ""weather"": 27, ""allocentric"": 32}",4.0,975.0,300.0,0.0,,Multi Hub,1,11,1.7879,0.3338,0.1402,1,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
mrs-bell,Mrs. Bell,American,Female,54,1,authored,San Diego,United States,US,declared,Americas,Northern America,SAN,32,4,2018,2025,4.0,0,0.1445,0.1555,0.797,0.3889,0.0,0.75,0.0,"{""unesco"": 32, ""michelin"": 32, ""weather"": 8, ""allocentric"": 32}",6.5,1062.5,412.5,0.0,Alaska Airlines Inc.,Alaska Loyalist,,1,1.3863,0.2588,0.2242,1,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
odysseus,Odysseus,American,Male,56,1,authored,Philadelphia,United States,US,declared,Americas,Northern America,PHL,32,6,2018,2025,4.0,0,0.3532,0.6846,0.7273,0.164,0.0,0.4688,0.0,"{""unesco"": 27, ""michelin"": 27, ""weather"": 27, ""allocentric"": 27}",6.0,1162.5,425.0,0.0,,American Hub,1,7,1.7879,0.3338,0.3247,1,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0
sisyphus,Sisyphus,American,Male,51,1,authored,San Diego,United States,US,declared,Americas,Northern America,SAN,32,6,2018,2025,4.0,0,0.1445,0.5301,0.7123,0.1739,0.0,0.0938,0.0938,"{""unesco"": 32, ""michelin"": 32, ""weather"": 32, ""allocentric"": 32}",5.0,987.5,300.0,0.0,,Skier,,10,1.7879,0.3338,0.1402,1,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
stephen-hawking,Stephen Hawking,American,Male,43,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,LAX,32,4,2018,2025,4.0,0,0.3012,0.6508,0.727,0.1686,0.0,0.25,0.0,"{""unesco"": 32, ""michelin"": 32, ""weather"": 32, ""allocentric"": 32}",9.5,1887.5,650.0,0.0,American Airlines Inc.,American Loyalist|Multi Hub,1,1,1.3863,0.2588,0.3364,2,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0
achilles,Achilles,American,Male,38,1,authored,Charlotte,United States,US,declared,Americas,Northern America,CLT,30,6,2016,2025,3.0,0,0.2498,0.734,0.7494,0.1413,0.0,0.1667,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",6.0,1237.5,425.0,0.0,,American Hub,1,8,1.7918,0.3345,0.402,1,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0
athena,Athena,American,Female,50,1,authored,Philadelphia,United States,US,declared,Americas,Northern America,PHL,30,6,2016,2025,3.0,0,0.16,0.6147,0.7225,0.2014,0.1667,0.5,0.1667,"{""unesco"": 30, ""michelin"": 30, ""weather"": 30, ""allocentric"": 30}",6.5,1200.0,400.0,0.0,,American Hub|Skier,1,7,1.7918,0.3345,0.3272,2,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333
cronus,Cronus,American,Male,72,1,authored,Dallas,United States,US,declared,Americas,Northern America,DFW,30,6,2016,2025,3.0,0,0.3435,0.6802,0.7584,0.1926,0.0,0.3333,0.0,"{""unesco"": 30, ""michelin"": 30, ""weather"": 25, ""allocentric"": 30}",5.0,1062.5,387.5,0.0,,American Hub,1,10,1.7918,0.3345,0.3272,1,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0
daedalus,Daedalus,American,Male,63,1,authored,San Jose,United States,US,declared,Americas,Northern America,SJC,30,6,2016,2025,3.0,0,0.2208,0.4938,0.7474,0.2399,0.1667,0.3333,0.1667,"{""unesco"": 30, ""michelin"": 30, ""weather"": 25, ""allocentric"": 30}",5.5,1100.0,387.5,0.0,,Skier,,8,1.7918,0.3345,0.3272,1,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333
hades,Hades,American,Male,61,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,30,6,2016,2025,3.0,0,0.1118,0.533,0.7353,0.1785,0.0,0.1667,0.1667,"{""unesco"": 30, ""michelin"": 30, ""weather"": 30, ""allocentric"": 30}",5.5,1100.0,350.0,0.0,,Multi Hub|Skier,1,13,1.7918,0.3345,0.2807,2,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0
poseidon,Poseidon,American,Male,64,1,authored,Houston,United States,US,declared,Americas,Northern America,IAH,30,6,2016,2025,3.0,0,0.308,0.5975,0.7358,0.1941,0.0,0.3333,0.0,"{""unesco"": 30, ""michelin"": 30, ""weather"": 30, ""allocentric"": 30}",5.5,1162.5,387.5,0.0,,United Hub,1,12,1.7918,0.3345,0.3272,1,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0
