trip_id,traveler_id,countable,layover,synthetic,destination_kind,start_date,end_date,year,month,month_name,duration_days,destination_key,destination_city,destination_country,destination_country_code,destination_airport,origin_airport,region,detailed_region,carrier_name,flight_class,tag_kinds,is_beach_vacation,is_ski_trip,is_holiday_trip,destination_matched,unesco_score,michelin_score,plog_score,allocentric_score,weather_score,destination_trips,destination_travelers,destination_raw
DAM-2021-08-12,abel-magwitch,1,0,1,city,2021-08-12,2021-08-23,2021,8,august,11,Lisbon|Portugal,Lisbon,Portugal,PT,LIS,EWR,Europe,Southern Europe,TAP-TAP Air Portugal,Economy,beach_vacation,1,0,0,1,5.78,6.42,0.6677,0.3323,8.3,48,16,"Lisbon, Portugal"
DAM-2022-08-14,abel-magwitch,1,0,1,city,2022-08-14,2022-08-28,2022,8,august,14,Porto|Portugal,Porto,Portugal,PT,OPO,EWR,Europe,Southern Europe,TAP-TAP Air Portugal,Economy,beach_vacation,1,0,0,1,5.78,6.34,0.5195,0.4805,8.13,6,4,"Porto, Portugal"
DAM-2023-08-09,abel-magwitch,1,0,1,city,2023-08-09,2023-08-21,2023,8,august,12,Lisbon|Portugal,Lisbon,Portugal,PT,LIS,EWR,Europe,Southern Europe,TAP-TAP Air Portugal,Economy,beach_vacation,1,0,0,1,5.78,6.42,0.6677,0.3323,8.3,48,16,"Lisbon, Portugal"
DAM-2024-08-16,abel-magwitch,1,0,1,city,2024-08-16,2024-08-31,2024,8,august,15,Porto|Portugal,Porto,Portugal,PT,OPO,EWR,Europe,Southern Europe,TAP-TAP Air Portugal,Economy,beach_vacation,1,0,0,1,5.78,6.34,0.5195,0.4805,8.13,6,4,"Porto, Portugal"
DAM-2025-08-13,abel-magwitch,1,0,1,city,2025-08-13,2025-08-26,2025,8,august,13,Lisbon|Portugal,Lisbon,Portugal,PT,LIS,EWR,Europe,Southern Europe,TAP-TAP Air Portugal,Economy,beach_vacation,1,0,0,1,5.78,6.42,0.6677,0.3323,8.3,48,16,"Lisbon, Portugal"
ACH-2016-02-07,achilles,1,0,1,city,2016-02-07,2016-02-14,2016,2,february,7,London|United Kingdom,London,United Kingdom,GB,LHR,CLT,Europe,Northern Europe,American Airlines Inc.,Economy,,0,0,0,1,6.71,9.54,0.8673,0.1327,6.78,135,33,"London, United Kingdom"
ACH-2016-06-15,achilles,1,0,1,city,2016-06-15,2016-06-19,2016,6,june,4,Chicago|United States,Chicago,United States,US,ORD,CLT,Americas,Northern America,American Airlines Inc.,Economy,,0,0,0,1,2.89,7.33,0.9501,0.0499,7.59,57,21,"Chicago, United States"
ACH-2016-09-22,achilles,1,0,1,city,2016-09-22,2016-09-29,2016,9,september,7,Montego Bay|Jamaica,Montego Bay,Jamaica,JM,MBJ,CLT,Americas,Caribbean,American Airlines Inc.,Economy,,0,0,0,0,,,,,,22,3,"Montego Bay, Jamaica"
ACH-2017-02-11,achilles,1,0,1,city,2017-02-11,2017-02-16,2017,2,february,5,Miami|United States,Miami,United States,US,MIA,CLT,Americas,Northern America,American Airlines Inc.,Economy,beach_vacation,1,0,0,1,0.0,6.68,0.9,0.1,7.54,57,13,"Miami, United States"
ACH-2017-06-18,achilles,1,0,1,city,2017-06-18,2017-06-25,2017,6,june,7,Munich|Germany,Munich,Germany,DE,MUC,CLT,Europe,Western Europe,Lufthansa German Airlines,Economy,,0,0,0,1,2.89,7.24,0.7318,0.2682,7.68,5,1,"Munich, Germany"
