trip_id,traveler_name,holiday,holiday_date,start_date,end_date,nights,origin_airport,destination_airport,destination_city,carrier_name,distance_km,route_carriers
HBG-2021-06-18,Bill Gorton,Father's Day,2021-06-20,2021-06-18,2021-06-20,2,LGA,DTW,Detroit,Delta Air Lines Inc.,805.1,"AA, DL, NK, US"
HBG-2021-10-08,Bill Gorton,Columbus Day,2021-10-11,2021-10-08,2021-10-11,3,LGA,BUF,Buffalo,Delta Air Lines Inc.,468.8,DL
HBG-2022-06-17,Bill Gorton,Father's Day,2022-06-19,2022-06-17,2022-06-19,2,LGA,DTW,Detroit,Delta Air Lines Inc.,805.1,"AA, DL, NK, US"
HBG-2022-10-07,Bill Gorton,Columbus Day,2022-10-10,2022-10-07,2022-10-10,3,LGA,BUF,Buffalo,Delta Air Lines Inc.,468.8,DL
HBG-2023-06-16,Bill Gorton,Father's Day,2023-06-18,2023-06-16,2023-06-18,2,LGA,DTW,Detroit,Delta Air Lines Inc.,805.1,"AA, DL, NK, US"
HBG-2023-10-06,Bill Gorton,Columbus Day,2023-10-09,2023-10-06,2023-10-09,3,LGA,BUF,Buffalo,Delta Air Lines Inc.,468.8,DL
HBG-2024-06-14,Bill Gorton,Father's Day,2024-06-16,2024-06-14,2024-06-16,2,LGA,DTW,Detroit,Delta Air Lines Inc.,805.1,"AA, DL, NK, US"
HBG-2024-10-11,Bill Gorton,Columbus Day,2024-10-14,2024-10-11,2024-10-14,3,LGA,BUF,Buffalo,Delta Air Lines Inc.,468.8,DL
HBG-2025-06-13,Bill Gorton,Father's Day,2025-06-15,2025-06-13,2025-06-15,2,LGA,DTW,Detroit,Delta Air Lines Inc.,805.1,"AA, DL, NK, US"
HBG-2025-10-10,Bill Gorton,Columbus Day,2025-10-13,2025-10-10,2025-10-13,3,LGA,BUF,Buffalo,Delta Air Lines Inc.,468.8,DL
HBA-2021-05-07,Brett Ashley,Mother's Day,2021-05-09,2021-05-07,2021-05-09,2,JFK,MIA,Miami,Delta Air Lines Inc.,1757.1,"AA, CX, DL, US"
HBA-2021-05-28,Brett Ashley,Memorial Day,2021-05-31,2021-05-28,2021-05-31,3,JFK,CHS,Charleston,Delta Air Lines Inc.,1025.0,"B6, DL"
HBA-2022-05-06,Brett Ashley,Mother's Day,2022-05-08,2022-05-06,2022-05-08,2,JFK,MIA,Miami,Delta Air Lines Inc.,1757.1,"AA, CX, DL, US"
HBA-2022-05-27,Brett Ashley,Memorial Day,2022-05-30,2022-05-27,2022-05-30,3,JFK,CHS,Charleston,Delta Air Lines Inc.,1025.0,"B6, DL"
HBA-2023-05-12,Brett Ashley,Mother's Day,2023-05-14,2023-05-12,2023-05-14,2,JFK,MIA,Miami,Delta Air Lines Inc.,1757.1,"AA, CX, DL, US"
HBA-2023-05-26,Brett Ashley,Memorial Day,2023-05-29,2023-05-26,2023-05-29,3,JFK,CHS,Charleston,Delta Air Lines Inc.,1025.0,"B6, DL"
HBA-2024-05-10,Brett Ashley,Mother's Day,2024-05-12,2024-05-10,2024-05-12,2,JFK,MIA,Miami,Delta Air Lines Inc.,1757.1,"AA, CX, DL, US"
HBA-2024-05-24,Brett Ashley,Memorial Day,2024-05-27,2024-05-24,2024-05-27,3,JFK,CHS,Charleston,Delta Air Lines Inc.,1025.0,"B6, DL"
HBA-2025-05-09,Brett Ashley,Mother's Day,2025-05-11,2025-05-09,2025-05-11,2,JFK,MIA,Miami,Delta Air Lines Inc.,1757.1,"AA, CX, DL, US"
HBA-2025-05-23,Brett Ashley,Memorial Day,2025-05-26,2025-05-23,2025-05-26,3,JFK,CHS,Charleston,Delta Air Lines Inc.,1025.0,"B6, DL"
HCB-2021-05-07,Catherine Barkley,Mother's Day,2021-05-09,2021-05-07,2021-05-09,2,SEA,PDX,Portland,Alaska Airlines Inc.,208.0,"AS, DL, UA"
HCB-2021-06-18,Catherine Barkley,Juneteenth,2021-06-19,2021-06-18,2021-06-21,3,SEA,ANC,Anchorage,Alaska Airlines Inc.,2325.6,"AS, CI, DL, UA"
HCB-2022-05-06,Catherine Barkley,Mother's Day,2022-05-08,2022-05-06,2022-05-08,2,SEA,PDX,Portland,Alaska Airlines Inc.,208.0,"AS, DL, UA"
HCB-2022-06-18,Catherine Barkley,Juneteenth,2022-06-19,2022-06-18,2022-06-21,3,SEA,ANC,Anchorage,Alaska Airlines Inc.,2325.6,"AS, CI, DL, UA"
HCB-2023-05-12,Catherine Barkley,Mother's Day,2023-05-14,2023-05-12,2023-05-14,2,SEA,PDX,Portland,Alaska Airlines Inc.,208.0,"AS, DL, UA"
HCB-2023-06-18,Catherine Barkley,Juneteenth,2023-06-19,2023-06-18,2023-06-21,3,SEA,ANC,Anchorage,Alaska Airlines Inc.,2325.6,"AS, CI, DL, UA"
HCB-2024-05-10,Catherine Barkley,Mother's Day,2024-05-12,2024-05-10,2024-05-12,2,SEA,PDX,Portland,Alaska Airlines Inc.,208.0,"AS, DL, UA"
HCB-2024-06-18,Catherine Barkley,Juneteenth,2024-06-19,2024-06-18,2024-06-21,3,SEA,ANC,Anchorage,Alaska Airlines Inc.,2325.6,"AS, CI, DL, UA"
HCB-2025-05-09,Catherine Barkley,Mother's Day,2025-05-11,2025-05-09,2025-05-11,2,SEA,PDX,Portland,Alaska Airlines Inc.,208.0,"AS, DL, UA"
HCB-2025-06-18,Catherine Barkley,Juneteenth,2025-06-19,2025-06-18,2025-06-21,3,SEA,ANC,Anchorage,Alaska Airlines Inc.,2325.6,"AS, CI, DL, UA"
HFH-2021-05-28,Frederic Henry,Memorial Day,2021-05-31,2021-05-28,2021-05-31,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2021-09-03,Frederic Henry,Labor Day,2021-09-06,2021-09-03,2021-09-06,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2022-05-27,Frederic Henry,Memorial Day,2022-05-30,2022-05-27,2022-05-30,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2022-09-02,Frederic Henry,Labor Day,2022-09-05,2022-09-02,2022-09-05,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2023-05-26,Frederic Henry,Memorial Day,2023-05-29,2023-05-26,2023-05-29,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2023-09-01,Frederic Henry,Labor Day,2023-09-04,2023-09-01,2023-09-04,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2024-05-24,Frederic Henry,Memorial Day,2024-05-27,2024-05-24,2024-05-27,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2024-08-30,Frederic Henry,Labor Day,2024-09-02,2024-08-30,2024-09-02,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2025-05-23,Frederic Henry,Memorial Day,2025-05-26,2025-05-23,2025-05-26,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HFH-2025-08-29,Frederic Henry,Labor Day,2025-09-01,2025-08-29,2025-09-01,3,ORD,BZN,Bozeman,United Air Lines Inc.,1903.4,"AA, UA"
HHF-2021-05-07,Helen Ferguson,Mother's Day,2021-05-09,2021-05-07,2021-05-09,2,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2021-09-03,Helen Ferguson,Labor Day,2021-09-06,2021-09-03,2021-09-06,3,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2022-05-06,Helen Ferguson,Mother's Day,2022-05-08,2022-05-06,2022-05-08,2,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2022-09-02,Helen Ferguson,Labor Day,2022-09-05,2022-09-02,2022-09-05,3,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2023-05-12,Helen Ferguson,Mother's Day,2023-05-14,2023-05-12,2023-05-14,2,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2023-09-01,Helen Ferguson,Labor Day,2023-09-04,2023-09-01,2023-09-04,3,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2024-05-10,Helen Ferguson,Mother's Day,2024-05-12,2024-05-10,2024-05-12,2,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2024-08-30,Helen Ferguson,Labor Day,2024-09-02,2024-08-30,2024-09-02,3,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2025-05-09,Helen Ferguson,Mother's Day,2025-05-11,2025-05-09,2025-05-11,2,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HHF-2025-08-29,Helen Ferguson,Labor Day,2025-09-01,2025-08-29,2025-09-01,3,DTW,TVC,Traverse City,Delta Air Lines Inc.,333.8,DL
HJB-2021-05-28,Jake Barnes,Memorial Day,2021-05-31,2021-05-28,2021-05-31,3,MCI,DEN,Denver,United Air Lines Inc.,855.4,"F9, FL, UA, WN"
HJB-2021-07-02,Jake Barnes,Independence Day,2021-07-04,2021-07-02,2021-07-06,4,MCI,MSY,New Orleans,Southwest Airlines Co.,1111.6,"FL, WN"
HJB-2022-05-27,Jake Barnes,Memorial Day,2022-05-30,2022-05-27,2022-05-30,3,MCI,DEN,Denver,United Air Lines Inc.,855.4,"F9, FL, UA, WN"
HJB-2022-07-02,Jake Barnes,Independence Day,2022-07-04,2022-07-02,2022-07-06,4,MCI,MSY,New Orleans,Southwest Airlines Co.,1111.6,"FL, WN"
HJB-2023-05-26,Jake Barnes,Memorial Day,2023-05-29,2023-05-26,2023-05-29,3,MCI,DEN,Denver,United Air Lines Inc.,855.4,"F9, FL, UA, WN"
HJB-2023-07-02,Jake Barnes,Independence Day,2023-07-04,2023-07-02,2023-07-06,4,MCI,MSY,New Orleans,Southwest Airlines Co.,1111.6,"FL, WN"
HJB-2024-05-24,Jake Barnes,Memorial Day,2024-05-27,2024-05-24,2024-05-27,3,MCI,DEN,Denver,United Air Lines Inc.,855.4,"F9, FL, UA, WN"
HJB-2024-07-02,Jake Barnes,Independence Day,2024-07-04,2024-07-02,2024-07-06,4,MCI,MSY,New Orleans,Southwest Airlines Co.,1111.6,"FL, WN"
HJB-2025-05-23,Jake Barnes,Memorial Day,2025-05-26,2025-05-23,2025-05-26,3,MCI,DEN,Denver,United Air Lines Inc.,855.4,"F9, FL, UA, WN"
HJB-2025-07-02,Jake Barnes,Independence Day,2025-07-04,2025-07-02,2025-07-06,4,MCI,MSY,New Orleans,Southwest Airlines Co.,1111.6,"FL, WN"
HKR-2021-05-28,Krebs,Memorial Day,2021-05-31,2021-05-28,2021-05-31,3,OKC,DFW,Dallas-Fort Worth,American Airlines Inc.,282.4,"AA, US"
HKR-2021-06-18,Krebs,Juneteenth,2021-06-19,2021-06-18,2021-06-21,3,OKC,DEN,Denver,United Air Lines Inc.,796.3,"F9, FL, UA, WN"
