trip_id,traveler_name,window,start_date,weekday,end_date,nights,origin_airport,destination_airport,destination_city,carrier_name,distance_km,transportation_cost,route_carriers
OPA-2021-01-13,Aouda,January,2021-01-13,Wednesday,2021-01-20,7,BOS,LIS,Lisbon,TAP-TAP Air Portugal,5124.1,420.0,"S4, TP"
OPA-2021-03-03,Aouda,March,2021-03-03,Wednesday,2021-03-10,7,BOS,BCN,Barcelona,Iberia Air Lines Of Spain,5858.0,420.0,IB
OPA-2021-04-28,Aouda,LateApril,2021-04-28,Wednesday,2021-05-05,7,BOS,DUB,Dublin,Delta Air Lines Inc.,4802.9,420.0,"DL, EI, UA"
OPA-2021-08-25,Aouda,LateAugust,2021-08-25,Wednesday,2021-08-30,5,BOS,MCO,Orlando,JetBlue Airways,1806.0,215.0,"B6, DL, FL, WN"
OPA-2021-09-08,Aouda,September,2021-09-08,Wednesday,2021-09-15,7,BOS,FCO,Rome,Delta Air Lines Inc.,6568.7,420.0,"AZ, DL"
OPA-2022-01-12,Aouda,January,2022-01-12,Wednesday,2022-01-19,7,BOS,LIS,Lisbon,TAP-TAP Air Portugal,5124.1,420.0,"S4, TP"
OPA-2022-03-02,Aouda,March,2022-03-02,Wednesday,2022-03-09,7,BOS,BCN,Barcelona,Iberia Air Lines Of Spain,5858.0,420.0,IB
OPA-2022-04-27,Aouda,LateApril,2022-04-27,Wednesday,2022-05-04,7,BOS,DUB,Dublin,Aer Lingus Plc,4802.9,420.0,"DL, EI, UA"
OPA-2022-08-31,Aouda,LateAugust,2022-08-31,Wednesday,2022-09-05,5,BOS,MCO,Orlando,Delta Air Lines Inc.,1806.0,215.0,"B6, DL, FL, WN"
OPA-2022-09-14,Aouda,September,2022-09-14,Wednesday,2022-09-21,7,BOS,FCO,Rome,Delta Air Lines Inc.,6568.7,420.0,"AZ, DL"
OPA-2023-01-11,Aouda,January,2023-01-11,Wednesday,2023-01-18,7,BOS,LIS,Lisbon,TAP-TAP Air Portugal,5124.1,420.0,"S4, TP"
OPA-2023-03-01,Aouda,March,2023-03-01,Wednesday,2023-03-08,7,BOS,BCN,Barcelona,Iberia Air Lines Of Spain,5858.0,420.0,IB
OPA-2023-04-26,Aouda,LateApril,2023-04-26,Wednesday,2023-05-03,7,BOS,DUB,Dublin,United Air Lines Inc.,4802.9,420.0,"DL, EI, UA"
OPA-2023-08-30,Aouda,LateAugust,2023-08-30,Wednesday,2023-09-04,5,BOS,MCO,Orlando,Southwest Airlines Co.,1806.0,215.0,"B6, DL, FL, WN"
OPA-2023-09-13,Aouda,September,2023-09-13,Wednesday,2023-09-20,7,BOS,FCO,Rome,Delta Air Lines Inc.,6568.7,420.0,"AZ, DL"
OPA-2024-01-10,Aouda,January,2024-01-10,Wednesday,2024-01-17,7,BOS,LIS,Lisbon,TAP-TAP Air Portugal,5124.1,420.0,"S4, TP"
OPA-2024-03-06,Aouda,March,2024-03-06,Wednesday,2024-03-13,7,BOS,BCN,Barcelona,Iberia Air Lines Of Spain,5858.0,420.0,IB
OPA-2024-04-24,Aouda,LateApril,2024-04-24,Wednesday,2024-05-01,7,BOS,DUB,Dublin,Delta Air Lines Inc.,4802.9,420.0,"DL, EI, UA"
OPA-2024-08-28,Aouda,LateAugust,2024-08-28,Wednesday,2024-09-02,5,BOS,MCO,Orlando,JetBlue Airways,1806.0,215.0,"B6, DL, FL, WN"
OPA-2024-09-11,Aouda,September,2024-09-11,Wednesday,2024-09-18,7,BOS,FCO,Rome,Delta Air Lines Inc.,6568.7,420.0,"AZ, DL"
OPA-2025-01-08,Aouda,January,2025-01-08,Wednesday,2025-01-15,7,BOS,LIS,Lisbon,TAP-TAP Air Portugal,5124.1,420.0,"S4, TP"
OPA-2025-03-05,Aouda,March,2025-03-05,Wednesday,2025-03-12,7,BOS,BCN,Barcelona,Iberia Air Lines Of Spain,5858.0,420.0,IB
OPA-2025-04-30,Aouda,LateApril,2025-04-30,Wednesday,2025-05-07,7,BOS,DUB,Dublin,Aer Lingus Plc,4802.9,420.0,"DL, EI, UA"
OPA-2025-08-27,Aouda,LateAugust,2025-08-27,Wednesday,2025-09-01,5,BOS,MCO,Orlando,Delta Air Lines Inc.,1806.0,215.0,"B6, DL, FL, WN"
OPA-2025-09-10,Aouda,September,2025-09-10,Wednesday,2025-09-17,7,BOS,FCO,Rome,Delta Air Lines Inc.,6568.7,420.0,"AZ, DL"
OPN-2021-01-13,Captain Nemo,January,2021-01-13,Wednesday,2021-01-20,7,MIA,MAD,Madrid,American Airlines Inc.,7107.3,420.0,"AA, AY, BA, IB, US, UX"
OPN-2021-04-28,Captain Nemo,LateApril,2021-04-28,Wednesday,2021-05-05,7,MIA,LIS,Lisbon,TAP-TAP Air Portugal,6677.2,420.0,"TP, UA"
OPN-2021-06-09,Captain Nemo,June,2021-06-09,Wednesday,2021-06-14,5,MIA,SJU,San Juan,American Airlines Inc.,1682.0,420.0,"AA, US"
OPN-2021-07-14,Captain Nemo,July,2021-07-14,Wednesday,2021-07-19,5,MIA,CUN,Cancun,American Airlines Inc.,855.0,420.0,"AA, LA, US"
OPN-2021-08-25,Captain Nemo,LateAugust,2021-08-25,Wednesday,2021-08-30,5,MIA,CHS,Charleston,American Airlines Inc.,790.5,215.0,"AA, US"
OPN-2022-01-12,Captain Nemo,January,2022-01-12,Wednesday,2022-01-19,7,MIA,MAD,Madrid,British Airways Plc,7107.3,420.0,"AA, AY, BA, IB, US, UX"
OPN-2022-04-27,Captain Nemo,LateApril,2022-04-27,Wednesday,2022-05-04,7,MIA,LIS,Lisbon,United Air Lines Inc.,6677.2,420.0,"TP, UA"
OPN-2022-06-08,Captain Nemo,June,2022-06-08,Wednesday,2022-06-13,5,MIA,SJU,San Juan,American Airlines Inc.,1682.0,420.0,"AA, US"
OPN-2022-07-13,Captain Nemo,July,2022-07-13,Wednesday,2022-07-18,5,MIA,CUN,Cancun,American Airlines Inc.,855.0,420.0,"AA, LA, US"
