trip_id,traveler_name,start_date,end_date,nights,canadian_thanksgiving,origin_airport,destination_airport,destination_city,carrier_name,distance_km,route_carriers
CMI-2021-10-08,Count Mippipopolous,2021-10-08,2021-10-12,4,2021-10-11,JFK,YYZ,Toronto,Air Canada,588.6,"AA, AC, AY, AZ, CX, DL, TK, US, WS"
CMI-2022-10-07,Count Mippipopolous,2022-10-07,2022-10-11,4,2022-10-10,JFK,YYZ,Toronto,Air Canada,588.6,"AA, AC, AY, AZ, CX, DL, TK, US, WS"
CMI-2023-10-06,Count Mippipopolous,2023-10-06,2023-10-10,4,2023-10-09,JFK,YYZ,Toronto,Air Canada,588.6,"AA, AC, AY, AZ, CX, DL, TK, US, WS"
CMI-2024-10-11,Count Mippipopolous,2024-10-11,2024-10-15,4,2024-10-14,JFK,YYZ,Toronto,Air Canada,588.6,"AA, AC, AY, AZ, CX, DL, TK, US, WS"
CMI-2025-10-10,Count Mippipopolous,2025-10-10,2025-10-14,4,2025-10-13,JFK,YYZ,Toronto,Air Canada,588.6,"AA, AC, AY, AZ, CX, DL, TK, US, WS"
MO-2021-10-08,Manuel Orquito,2021-10-08,2021-10-12,4,2021-10-11,LAX,YYZ,Toronto,Air Canada,3494.0,"AA, AC, UA, US, WS"
MO-2022-10-07,Manuel Orquito,2022-10-07,2022-10-11,4,2022-10-10,LAX,YYZ,Toronto,Air Canada,3494.0,"AA, AC, UA, US, WS"
MO-2023-10-06,Manuel Orquito,2023-10-06,2023-10-10,4,2023-10-09,LAX,YYZ,Toronto,Air Canada,3494.0,"AA, AC, UA, US, WS"
MO-2024-10-11,Manuel Orquito,2024-10-11,2024-10-15,4,2024-10-14,LAX,YYZ,Toronto,Air Canada,3494.0,"AA, AC, UA, US, WS"
MO-2025-10-10,Manuel Orquito,2025-10-10,2025-10-14,4,2025-10-13,LAX,YYZ,Toronto,Air Canada,3494.0,"AA, AC, UA, US, WS"
MBR-2021-10-08,Mrs. Braddocks,2021-10-08,2021-10-12,4,2021-10-11,MIA,YYZ,Toronto,Air Canada,1989.5,"AA, AC, US, WS"
MBR-2022-10-07,Mrs. Braddocks,2022-10-07,2022-10-11,4,2022-10-10,MIA,YYZ,Toronto,Air Canada,1989.5,"AA, AC, US, WS"
MBR-2023-10-06,Mrs. Braddocks,2023-10-06,2023-10-10,4,2023-10-09,MIA,YYZ,Toronto,Air Canada,1989.5,"AA, AC, US, WS"
MBR-2024-10-11,Mrs. Braddocks,2024-10-11,2024-10-15,4,2024-10-14,MIA,YYZ,Toronto,Air Canada,1989.5,"AA, AC, US, WS"
MBR-2025-10-10,Mrs. Braddocks,2025-10-10,2025-10-14,4,2025-10-13,MIA,YYZ,Toronto,Air Canada,1989.5,"AA, AC, US, WS"
