trip_id,traveler_name,start_date,end_date,nights,origin_airport,destination_airport,destination_city,carrier_name,distance_km,accommodation_cost,transportation_cost
SKCB-2024-02-10,Charlie Brown,2024-02-10,2024-02-17,7,IAH,EGE,Vail,United Air Lines Inc.,1504.2,3100.0,415.0
SKCB-2025-02-08,Charlie Brown,2025-02-08,2025-02-15,7,IAH,ASE,Aspen,United Air Lines Inc.,1470.2,3600.0,470.0
SKCB-2026-02-07,Charlie Brown,2026-02-07,2026-02-14,7,IAH,EGE,Vail,United Air Lines Inc.,1504.2,3350.0,445.0
SKLI-2024-02-17,Linus van Pelt,2024-02-17,2024-02-24,7,EWR,EGE,Vail,United Air Lines Inc.,2769.0,3250.0,520.0
SKLI-2025-02-15,Linus van Pelt,2025-02-15,2025-02-22,7,EWR,DEN,Denver,United Air Lines Inc.,2576.4,2400.0,385.0
SKLI-2026-02-14,Linus van Pelt,2026-02-14,2026-02-21,7,EWR,EGE,Vail,United Air Lines Inc.,2769.0,3500.0,560.0
SKLU-2024-03-02,Lucy van Pelt,2024-03-02,2024-03-09,7,ORD,ASE,Aspen,United Air Lines Inc.,1626.6,3400.0,430.0
SKLU-2025-03-01,Lucy van Pelt,2025-03-01,2025-03-08,7,ORD,MTJ,Montrose CO,United Air Lines Inc.,1735.6,2950.0,455.0
SKLU-2026-02-28,Lucy van Pelt,2026-02-28,2026-03-07,7,ORD,ASE,Aspen,United Air Lines Inc.,1626.6,3700.0,480.0
SKSN-2024-01-13,Snoopy,2024-01-13,2024-01-20,7,SFO,DEN,Denver,United Air Lines Inc.,1552.8,2250.0,340.0
SKSN-2025-01-11,Snoopy,2025-01-11,2025-01-18,7,SFO,DEN,Denver,United Air Lines Inc.,1552.8,2400.0,365.0
SKSN-2026-01-10,Snoopy,2026-01-10,2026-01-17,7,SFO,DEN,Denver,United Air Lines Inc.,1552.8,2550.0,390.0
SKWO-2024-01-27,Woodstock,2024-01-27,2024-02-03,7,ATL,DEN,Denver,Delta Air Lines Inc.,1926.6,2300.0,375.0
SKWO-2025-01-25,Woodstock,2025-01-25,2025-02-01,7,ATL,DEN,Denver,Delta Air Lines Inc.,1926.6,2500.0,400.0
SKWO-2026-01-24,Woodstock,2026-01-24,2026-01-31,7,ATL,DEN,Denver,Delta Air Lines Inc.,1926.6,2650.0,425.0
