traveler_id,name,trip_count,trips_with_carrier,distinct_carriers,top_carrier,top_carrier_share,below_min_trips,base_city,base_inference,home_airport,hub_city,hub_airlines,home_airport_is_hub,classifiable_trips,ski_trips,trip_pattern_near_miss,tags
abel-magwitch,Abel Magwitch,5,5,1,TAP-TAP Air Portugal,1.0,False,New York City,declared,EWR,New York City,United; Delta; American,True,5,0,False,TAP Loyalist; Multi Hub
albert-einstein,Albert Einstein,20,20,1,American Airlines Inc.,1.0,False,Dallas,declared,DFW,Dallas,American,True,20,0,False,American Loyalist; American Hub
alfred-polly,Alfred Polly,5,5,1,United Air Lines Inc.,1.0,False,Chicago,declared,ORD,Chicago,United; American,True,5,0,False,United Loyalist; Multi Hub
alfred-d-orsay,Alfred d'Orsay,8,8,1,United Air Lines Inc.,1.0,False,"Washington, D.C.",declared,IAD,"Washington, D.C.",United; American,True,8,0,False,United Loyalist; Multi Hub
andy-warhol,Andy Warhol,15,15,1,United Air Lines Inc.,1.0,False,Houston,declared,IAH,Houston,United,True,15,0,False,United Loyalist; United Hub
arthur-kipps,Arthur Kipps,5,5,1,United Air Lines Inc.,1.0,False,New York City,declared,EWR,New York City,United; Delta; American,True,5,0,False,United Loyalist; Multi Hub
bill-evans,Bill Evans,10,10,1,Delta Air Lines Inc.,1.0,False,Detroit,declared,DTW,Detroit,Delta,True,10,0,False,Delta Loyalist; Delta Hub
bill-gorton,Bill Gorton,10,10,1,Delta Air Lines Inc.,1.0,False,New York City,declared,LGA,New York City,United; Delta; American,True,10,0,False,Delta Loyalist; Multi Hub
bill-sikes,Bill Sikes,5,5,1,United Air Lines Inc.,1.0,False,New York City,declared,EWR,New York City,United; Delta; American,True,5,0,False,United Loyalist; Multi Hub
brett-ashley,Brett Ashley,10,10,1,Delta Air Lines Inc.,1.0,False,New York City,declared,JFK,New York City,United; Delta; American,True,10,0,False,Delta Loyalist; Multi Hub
catherine-barkley,Catherine Barkley,10,10,1,Alaska Airlines Inc.,1.0,False,Seattle,declared,SEA,Seattle,Alaska,True,10,0,False,Alaska Loyalist; Alaska Hub
charles-darwin,Charles Darwin,36,36,1,American Airlines Inc.,1.0,False,Miami,declared,MIA,Miami,American,True,36,0,False,American Loyalist; American Hub
