trip_id,traveler_name,base_city,start_date,end_date,nights,origin_airport,destination_airport,destination_city,carrier_name,distance_km,route_carriers
WAP-2021-12-22,Alfred Polly,Chicago,2021-12-22,2021-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WAP-2022-12-22,Alfred Polly,Chicago,2022-12-22,2022-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WAP-2023-12-22,Alfred Polly,Chicago,2023-12-22,2023-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WAP-2024-12-22,Alfred Polly,Chicago,2024-12-22,2024-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WAP-2025-12-22,Alfred Polly,Chicago,2025-12-22,2025-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WAK-2021-12-22,Arthur Kipps,New York City,2021-12-22,2021-12-27,5,EWR,RDU,Raleigh-durham,United Air Lines Inc.,670.0,"DL, UA"
WAK-2022-12-22,Arthur Kipps,New York City,2022-12-22,2022-12-27,5,EWR,RDU,Raleigh-durham,United Air Lines Inc.,670.0,"DL, UA"
WAK-2023-12-22,Arthur Kipps,New York City,2023-12-22,2023-12-27,5,EWR,RDU,Raleigh-durham,United Air Lines Inc.,670.0,"DL, UA"
WAK-2024-12-22,Arthur Kipps,New York City,2024-12-22,2024-12-27,5,EWR,RDU,Raleigh-durham,United Air Lines Inc.,670.0,"DL, UA"
WAK-2025-12-22,Arthur Kipps,New York City,2025-12-22,2025-12-27,5,EWR,RDU,Raleigh-durham,United Air Lines Inc.,670.0,"DL, UA"
WHW-2021-12-22,Helen Walshingham,"Washington, D.C.",2021-12-22,2021-12-27,5,IAD,BOS,Boston,United Air Lines Inc.,663.6,"B6, UA"
WHW-2022-12-22,Helen Walshingham,"Washington, D.C.",2022-12-22,2022-12-27,5,IAD,BOS,Boston,United Air Lines Inc.,663.6,"B6, UA"
WHW-2023-12-22,Helen Walshingham,"Washington, D.C.",2023-12-22,2023-12-27,5,IAD,BOS,Boston,United Air Lines Inc.,663.6,"B6, UA"
WHW-2024-12-22,Helen Walshingham,"Washington, D.C.",2024-12-22,2024-12-27,5,IAD,BOS,Boston,United Air Lines Inc.,663.6,"B6, UA"
WHW-2025-12-22,Helen Walshingham,"Washington, D.C.",2025-12-22,2025-12-27,5,IAD,BOS,Boston,United Air Lines Inc.,663.6,"B6, UA"
WHG-2021-12-22,Herbert George Wells,Los Angeles,2021-12-22,2021-12-27,5,LAX,SEA,Seattle,United Air Lines Inc.,1536.9,"AA, AS, DL, UA, VX"
WHG-2022-12-22,Herbert George Wells,Los Angeles,2022-12-22,2022-12-27,5,LAX,SEA,Seattle,United Air Lines Inc.,1536.9,"AA, AS, DL, UA, VX"
WHG-2023-12-22,Herbert George Wells,Los Angeles,2023-12-22,2023-12-27,5,LAX,SEA,Seattle,United Air Lines Inc.,1536.9,"AA, AS, DL, UA, VX"
WHG-2024-12-22,Herbert George Wells,Los Angeles,2024-12-22,2024-12-27,5,LAX,SEA,Seattle,United Air Lines Inc.,1536.9,"AA, AS, DL, UA, VX"
WHG-2025-12-22,Herbert George Wells,Los Angeles,2025-12-22,2025-12-27,5,LAX,SEA,Seattle,United Air Lines Inc.,1536.9,"AA, AS, DL, UA, VX"
WMP-2021-12-22,Miriam Polly,Chicago,2021-12-22,2021-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WMP-2022-12-22,Miriam Polly,Chicago,2022-12-22,2022-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WMP-2023-12-22,Miriam Polly,Chicago,2023-12-22,2023-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WMP-2024-12-22,Miriam Polly,Chicago,2024-12-22,2024-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WMP-2025-12-22,Miriam Polly,Chicago,2025-12-22,2025-12-27,5,ORD,PIT,Pittsburgh,United Air Lines Inc.,662.2,"AA, QR, UA, US"
WMG-2021-12-22,Montgomery,Houston,2021-12-22,2021-12-27,5,IAH,MSY,New Orleans,United Air Lines Inc.,489.5,"AA, AC, LH, NK, TK, UA"
WMG-2022-12-22,Montgomery,Houston,2022-12-22,2022-12-27,5,IAH,MSY,New Orleans,United Air Lines Inc.,489.5,"AA, AC, LH, NK, TK, UA"
WMG-2023-12-22,Montgomery,Houston,2023-12-22,2023-12-27,5,IAH,MSY,New Orleans,United Air Lines Inc.,489.5,"AA, AC, LH, NK, TK, UA"
WMG-2024-12-22,Montgomery,Houston,2024-12-22,2024-12-27,5,IAH,MSY,New Orleans,United Air Lines Inc.,489.5,"AA, AC, LH, NK, TK, UA"
WMG-2025-12-22,Montgomery,Houston,2025-12-22,2025-12-27,5,IAH,MSY,New Orleans,United Air Lines Inc.,489.5,"AA, AC, LH, NK, TK, UA"
